radio_flux_10.7cm_t5;radio_flux_10.7cm_t4;radio_flux_10.7cm_t3;radio_flux_10.7cm_t2;radio_flux_10.7cm_t1;sesc_sunspot_number_t5;sesc_sunspot_number_t4;sesc_sunspot_number_t3;sesc_sunspot_number_t2;sesc_sunspot_number_t1;sunspot_area_t5;sunspot_area_t4;sunspot_area_t3;sunspot_area_t2;sunspot_area_t1;goes15_xray_bkgd_flux_t5;goes15_xray_bkgd_flux_t4;goes15_xray_bkgd_flux_t3;goes15_xray_bkgd_flux_t2;goes15_xray_bkgd_flux_t1;z_component_wmfr_t5;z_component_wmfr_t4;z_component_wmfr_t3;z_component_wmfr_t2;z_component_wmfr_t1;p_component_wmfr_t5;p_component_wmfr_t4;p_component_wmfr_t3;p_component_wmfr_t2;p_component_wmfr_t1;c_component_wmfr_t5;c_component_wmfr_t4;c_component_wmfr_t3;c_component_wmfr_t2;c_component_wmfr_t1;mag_type_wmfr_t5;mag_type_wmfr_t4;mag_type_wmfr_t3;mag_type_wmfr_t2;mag_type_wmfr_t1;flare_t3do
-0.261084;-0.308657;-0.213511;-0.094578;-0.070791;-0.106074;-0.301684;-0.271590;-0.030840;0.315238;-0.671058;-0.705433;-0.688245;-0.413241;-0.121049;-0.218003;-0.275189;-0.289486;-0.203706;-0.218003;0.215536;0.219552;0.015552;-0.178058;0.102605;0.230382;0.233465;0.020435;-0.189550;0.087930;0.283358;0.264119;0.013734;-0.198171;0.090483;0.274982;0.259509;0.011617;-0.205331;0.088627;1.000000
-1.141189;-1.117402;-1.188762;-1.117402;-1.164976;-0.948700;-0.933653;-0.918606;-0.993841;-1.174403;-0.842935;-0.825748;-0.842935;-0.877311;-0.911686;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-0.976405;-0.976405;-0.998322;-0.998322;-1.238181;-0.983186;-0.983186;-1.005711;-1.005711;-1.257428;-0.987804;-0.987804;-0.987804;-0.987804;-1.243321;-0.979955;-0.979955;-0.979955;-0.979955;0.000000
-1.093616;-1.069829;-1.046043;-1.046043;-1.046043;-1.174403;-1.174403;-0.978794;-0.993841;-1.174403;-0.911686;-0.911686;-0.877311;-0.877311;-0.911686;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-1.235247;-1.235247;-0.998322;-1.009329;-1.238181;-1.238181;-1.238181;-1.005711;-1.005711;-1.257428;-1.257428;-1.257428;-0.987804;-1.007044;-1.243321;-1.243321;-1.243321;-0.979955;-0.995428;0.000000
2.807390;2.854963;2.521950;2.093791;1.832138;2.933397;2.948444;3.129006;2.226193;1.503943;1.941481;2.474302;2.164922;1.030530;0.428959;0.968617;0.768464;1.540481;1.254549;0.825650;1.872691;2.645625;2.878291;3.142102;2.475157;1.647361;2.351017;2.692870;3.160894;2.477970;1.768431;2.304776;2.516891;2.998630;2.459381;1.932943;2.646030;2.847858;3.359117;2.412500;1.000000
0.595234;0.642807;0.666594;0.833100;0.714167;0.525895;0.360379;0.992348;0.826833;0.736551;0.703963;0.583649;0.738338;0.738338;0.721151;0.025040;-0.003553;0.082226;-0.146520;-0.146520;1.068106;0.525203;0.131416;0.823670;1.090024;1.193830;0.748251;0.289515;1.179263;1.241922;1.130710;0.610701;0.109722;0.899355;1.168979;1.096025;0.630831;0.104100;0.878724;1.142090;1.000000
-0.213511;-0.165938;-0.142151;-0.047005;-0.047005;-0.376918;-0.346825;-0.572528;-0.331778;-0.166262;0.257081;0.463334;0.205518;0.411771;0.119579;-0.246596;-0.346672;-0.332376;-0.289486;-0.260893;-0.342288;-0.251171;-0.219302;-0.456227;-0.237725;-0.204156;-0.204156;-0.274733;-0.741414;-0.300341;-0.448556;-0.176238;-0.467796;-0.737420;-0.448556;-0.407159;-0.453224;-0.422632;-0.685998;-0.407159;1.000000
-0.118364;-0.165938;-0.189724;-0.261084;-0.356231;-0.482247;-0.391965;-0.452153;-0.437106;-0.271590;-0.516368;-0.430429;-0.378866;-0.464805;-0.396054;-0.075037;-0.017850;0.168006;-0.046443;0.010743;0.018382;-0.648363;-0.371099;-0.404024;-0.393017;-0.027735;-0.725147;-0.444545;-0.467069;-0.467069;0.286052;-0.445862;-0.195478;-0.214717;-0.195478;0.477566;-0.250640;-0.002747;-0.018220;-0.002747;1.000000
-0.023218;-0.094578;-0.094578;0.048142;-0.047005;-0.166262;-0.166262;-0.030840;0.179816;0.330285;0.480522;0.257081;0.257081;0.042234;0.136767;-0.017850;-0.060740;-0.003553;-0.017850;0.039336;0.171853;-0.342288;-0.342288;-0.058130;0.197217;0.453122;-0.226641;-0.249126;0.246258;0.097192;0.109513;-0.410286;-0.176238;-0.140662;0.147992;0.119219;-0.361094;-0.453224;-0.143793;0.058035;1.000000
1.594272;1.641845;1.974858;1.998645;1.665632;1.564130;1.609271;1.609271;1.263192;0.917114;1.133657;1.305534;1.907106;2.749306;3.144624;0.968617;0.968617;1.111583;0.825650;0.825650;0.925508;1.585311;1.395813;1.413096;1.012609;0.825034;1.570578;1.299355;1.296194;0.763771;0.882809;1.576454;1.402818;1.460537;0.668001;0.645950;1.328092;1.531029;2.089462;1.081308;1.000000
0.167075;0.143288;0.000569;-0.213511;-0.284871;0.255051;0.209910;0.134676;-0.166262;0.134676;0.549273;0.669587;0.635212;0.446147;0.411771;0.053633;0.010743;-0.103630;-0.260893;-0.289486;0.139594;0.394940;0.336082;-0.145182;-0.374594;0.356971;0.586397;0.493295;-0.019738;-0.252209;0.305291;0.555676;0.555676;0.054907;-0.214717;0.073154;0.321047;0.274982;-0.220804;-0.484169;1.000000
